Frame,Beyblade Type,Condition,X1,Y1,X2,Y2,Confidence,Width,Status,Collision,Time Per Frame (secs),Time (secs)
1,Beyblade 1,stop,185,110,319,194,0.9585429430007935,134,Loser,No,0.03333333333333333,
1,Beyblade 2,stop,69,251,139,311,0.8966748714447021,70,Winner,No,0.03333333333333333,
2,Beyblade 1,stop,185,110,318,194,0.9301040172576904,133,Loser,No,0.03333333333333333,
2,Beyblade 2,stop,70,250,139,310,0.8735688924789429,69,Winner,No,0.03333333333333333,
3,Beyblade 1,stop,190,107,325,201,0.8840171694755554,135,Loser,No,0.03333333333333333,
3,Beyblade 2,stop,71,250,140,310,0.8376121520996094,69,Winner,No,0.03333333333333333,
4,Beyblade 1,stop,183,111,328,200,0.8745594620704651,145,Loser,No,0.03333333333333333,
4,Beyblade 2,stop,71,250,142,312,0.8194183707237244,71,Winner,No,0.03333333333333333,
5,,stop,71,252,141,312,0.8356452584266663,70,,No,0.03333333333333333,
6,,stop,72,252,141,312,0.8751589059829712,69,,No,0.03333333333333333,
7,Beyblade 2,stop,69,251,146,312,0.4983031749725342,77,Winner,No,0.03333333333333333,
7,Beyblade 1,stop,151,35,301,179,0.42395639419555664,150,Loser,No,0.03333333333333333,
8,Beyblade 2,stop,45,242,151,302,0.5498375296592712,106,Winner,No,0.03333333333333333,
8,Beyblade 1,stop,141,89,293,199,0.5214009284973145,152,Loser,No,0.03333333333333333,
8,,stop,44,183,153,303,0.4874558448791504,109,,No,0.03333333333333333,
9,,stop,53,177,161,301,0.6637944579124451,108,,No,0.03333333333333333,
9,Beyblade 2,stop,53,227,160,301,0.6266927123069763,107,Winner,No,0.03333333333333333,
9,Beyblade 1,stop,133,108,274,224,0.49010568857192993,141,Loser,No,0.03333333333333333,
9,,spinning,134,108,275,226,0.3363610506057739,141,,No,0.03333333333333333,0.3
10,Beyblade 2,stop,58,203,163,302,0.8449062705039978,105,Winner,No,0.03333333333333333,0.3333333333333333
10,Beyblade 1,stop,142,140,258,249,0.5331358909606934,116,Loser,No,0.03333333333333333,0.3333333333333333
10,,stop,59,161,164,306,0.38973692059516907,105,,No,0.03333333333333333,0.3333333333333333
11,,stop,76,164,187,288,0.26424264907836914,111,,No,0.03333333333333333,0.36666666666666664
12,Beyblade 1,stop,70,147,235,302,0.654538631439209,165,Loser,No,0.03333333333333333,0.4
12,Beyblade 2,stop,88,226,193,295,0.4085848331451416,105,Winner,No,0.03333333333333333,0.4
13,Beyblade 2,spinning,109,238,208,314,0.8910046219825745,99,Winner,No,0.03333333333333333,0.43333333333333335
13,Beyblade 1,stop,48,142,219,288,0.4971875548362732,171,Loser,No,0.03333333333333333,0.43333333333333335
14,,spinning,126,266,223,345,0.9361175298690796,97,,No,0.03333333333333333,0.4666666666666667
15,Beyblade 2,spinning,142,296,238,375,0.942879855632782,96,Winner,No,0.03333333333333333,0.5
15,Beyblade 1,spinning,57,180,187,285,0.6216622591018677,130,Loser,No,0.03333333333333333,0.5
16,Beyblade 2,spinning,166,269,261,347,0.9253718852996826,95,Winner,Yes,0.03333333333333333,0.5333333333333333
16,Beyblade 1,spinning,51,178,188,288,0.7441591620445251,137,Loser,Yes,0.03333333333333333,0.5333333333333333
17,Beyblade 2,spinning,194,249,284,326,0.9500179290771484,90,Winner,No,0.03333333333333333,0.5666666666666667
17,Beyblade 1,spinning,49,190,187,298,0.7829663157463074,138,Loser,No,0.03333333333333333,0.5666666666666667
18,Beyblade 2,spinning,214,242,306,319,0.9435098171234131,92,Winner,No,0.03333333333333333,0.6
18,Beyblade 1,spinning,53,205,188,310,0.8381038308143616,135,Loser,No,0.03333333333333333,0.6
19,Beyblade 2,spinning,236,245,329,321,0.9133095741271973,93,Winner,No,0.03333333333333333,0.6333333333333333
19,Beyblade 1,spinning,62,209,199,316,0.8790603876113892,137,Loser,No,0.03333333333333333,0.6333333333333333
20,Beyblade 2,spinning,254,259,345,336,0.9510945081710815,91,Winner,No,0.03333333333333333,0.6666666666666666
20,Beyblade 1,spinning,71,225,207,335,0.8767806887626648,136,Loser,No,0.03333333333333333,0.6666666666666666
21,Beyblade 2,spinning,269,267,357,345,0.9378484487533569,88,Winner,No,0.03333333333333333,0.7
21,Beyblade 1,spinning,82,224,219,334,0.8871748447418213,137,Loser,No,0.03333333333333333,0.7
22,Beyblade 2,spinning,280,259,360,335,0.9643709659576416,80,Winner,No,0.03333333333333333,0.7333333333333333
22,Beyblade 1,spinning,93,234,228,344,0.9266031980514526,135,Loser,No,0.03333333333333333,0.7333333333333333
23,Beyblade 2,spinning,288,260,360,336,0.9654741287231445,72,Winner,No,0.03333333333333333,0.7666666666666666
23,Beyblade 1,spinning,109,231,243,343,0.9097809791564941,134,Loser,No,0.03333333333333333,0.7666666666666666
24,Beyblade 2,spinning,286,248,360,323,0.9637138843536377,74,Winner,No,0.03333333333333333,0.8
24,Beyblade 1,spinning,124,236,260,348,0.8833624720573425,136,Loser,No,0.03333333333333333,0.8
25,Beyblade 2,spinning,284,246,360,322,0.9537525177001953,76,Winner,No,0.03333333333333333,0.8333333333333334
25,Beyblade 1,spinning,140,235,277,348,0.8676064014434814,137,Loser,No,0.03333333333333333,0.8333333333333334
26,Beyblade 2,spinning,278,238,360,314,0.9215810894966125,82,Winner,Yes,0.03333333333333333,0.8666666666666667
26,Beyblade 1,spinning,153,233,287,341,0.8650832176208496,134,Loser,Yes,0.03333333333333333,0.8666666666666667
27,Beyblade 2,spinning,297,229,360,303,0.9347105026245117,63,Winner,No,0.03333333333333333,0.9
27,Beyblade 1,spinning,131,229,268,337,0.8795356154441833,137,Loser,No,0.03333333333333333,0.9
28,Beyblade 1,spinning,115,229,250,336,0.8789147138595581,135,Loser,No,0.03333333333333333,0.9333333333333333
28,Beyblade 2,spinning,316,218,360,290,0.8304508924484253,44,Winner,No,0.03333333333333333,0.9333333333333333
29,Beyblade 1,spinning,102,228,237,334,0.8645793795585632,135,Loser,No,0.03333333333333333,0.9666666666666667
29,Beyblade 2,spinning,316,208,360,281,0.6961392760276794,44,Winner,No,0.03333333333333333,0.9666666666666667
30,Beyblade 1,spinning,90,227,226,332,0.9155924916267395,136,Loser,No,0.03333333333333333,1.0
30,Beyblade 2,spinning,308,207,360,282,0.8757627010345459,52,Winner,No,0.03333333333333333,1.0
31,Beyblade 2,spinning,299,205,360,280,0.9126308560371399,61,Winner,No,0.03333333333333333,1.0333333333333332
31,Beyblade 1,spinning,82,226,220,330,0.906565248966217,138,Loser,No,0.03333333333333333,1.0333333333333332
32,Beyblade 2,spinning,286,206,360,281,0.9373264908790588,74,Winner,No,0.03333333333333333,1.0666666666666667
32,Beyblade 1,spinning,79,225,216,330,0.9199388027191162,137,Loser,No,0.03333333333333333,1.0666666666666667
33,Beyblade 2,spinning,267,205,356,281,0.9422594308853149,89,Winner,No,0.03333333333333333,1.1
33,Beyblade 1,spinning,79,229,216,334,0.8951265811920166,137,Loser,No,0.03333333333333333,1.1
34,Beyblade 1,spinning,81,234,219,338,0.9185442328453064,138,Loser,No,0.03333333333333333,1.1333333333333333
34,Beyblade 2,spinning,251,204,341,279,0.9045766592025757,90,Winner,No,0.03333333333333333,1.1333333333333333
35,Beyblade 2,spinning,229,204,321,280,0.9295773506164551,92,Winner,No,0.03333333333333333,1.1666666666666667
35,Beyblade 1,spinning,90,242,226,347,0.8750667572021484,136,Loser,No,0.03333333333333333,1.1666666666666667
36,Beyblade 2,spinning,206,204,299,278,0.9283660650253296,93,Winner,Yes,0.03333333333333333,1.2
36,Beyblade 1,spinning,102,254,237,356,0.8845228552818298,135,Loser,Yes,0.03333333333333333,1.2
37,Beyblade 2,spinning,195,196,286,272,0.9407572150230408,91,Winner,Yes,0.03333333333333333,1.2333333333333334
37,Beyblade 1,spinning,103,266,240,370,0.9095572233200073,137,Loser,Yes,0.03333333333333333,1.2333333333333334
38,Beyblade 2,spinning,183,192,277,267,0.930071234703064,94,Winner,No,0.03333333333333333,1.2666666666666666
38,Beyblade 1,spinning,103,277,240,382,0.9140288829803467,137,Loser,No,0.03333333333333333,1.2666666666666666
39,Beyblade 2,spinning,174,189,265,264,0.9371188282966614,91,Winner,No,0.03333333333333333,1.3
39,Beyblade 1,spinning,103,288,241,397,0.899032711982727,138,Loser,No,0.03333333333333333,1.3
40,Beyblade 2,spinning,162,188,253,263,0.9495713114738464,91,Winner,No,0.03333333333333333,1.3333333333333333
