Frame,Condition,X1,Y1,X2,Y2,Confidence,Width,Beyblade Type,Status,Match Duration for All Frames (seconds)
1,stop,185,110,319,194,0.9585429430007935,134,Beyblade 1,Loser,11.3
1,stop,69,251,139,311,0.8966748714447021,70,Beyblade 2,Winner,11.3
2,stop,185,110,318,194,0.9301040172576904,133,Beyblade 1,Loser,11.3
2,stop,70,250,139,310,0.8735688924789429,69,Beyblade 2,Winner,11.3
3,stop,190,107,325,201,0.8840171694755554,135,Beyblade 1,Loser,11.3
3,stop,71,250,140,310,0.8376121520996094,69,Beyblade 2,Winner,11.3
4,stop,183,111,328,200,0.8745594620704651,145,Beyblade 1,Loser,11.3
4,stop,71,250,142,312,0.8194183707237244,71,Beyblade 2,Winner,11.3
5,stop,71,252,141,312,0.8356452584266663,70,,,11.3
6,stop,72,252,141,312,0.8751589059829712,69,,,11.3
7,stop,69,251,146,312,0.4983031749725342,77,Beyblade 2,Winner,11.3
7,stop,151,35,301,179,0.42395639419555664,150,Beyblade 1,Loser,11.3
8,stop,45,242,151,302,0.5498375296592712,106,Beyblade 2,Winner,11.3
8,stop,141,89,293,199,0.5214009284973145,152,Beyblade 1,Loser,11.3
8,stop,44,183,153,303,0.4874558448791504,109,,,11.3
9,stop,53,177,161,301,0.6637944579124451,108,,,11.3
9,stop,53,227,160,301,0.6266927123069763,107,Beyblade 2,Winner,11.3
9,stop,133,108,274,224,0.49010568857192993,141,Beyblade 1,Loser,11.3
9,spinning,134,108,275,226,0.3363610506057739,141,,,11.3
10,stop,58,203,163,302,0.8449062705039978,105,Beyblade 2,Winner,11.3
10,stop,142,140,258,249,0.5331358909606934,116,Beyblade 1,Loser,11.3
10,stop,59,161,164,306,0.38973692059516907,105,,,11.3
11,stop,76,164,187,288,0.26424264907836914,111,,,11.3
12,stop,70,147,235,302,0.654538631439209,165,Beyblade 1,Loser,11.3
12,stop,88,226,193,295,0.4085848331451416,105,Beyblade 2,Winner,11.3
13,spinning,109,238,208,314,0.8910046219825745,99,Beyblade 2,Winner,11.3
13,stop,48,142,219,288,0.4971875548362732,171,Beyblade 1,Loser,11.3
